Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2003	23.4886	1.77832	122.751	
2	2003	15.097	-3.12922	120.407	
1	2003	39.1597	14.631	124.605	
2	2003	37.5277	13.5056	124.464	
3	2003	33.0617	9.58547	124.19	
4	2003	31.6641	8.17085	124.102	
1	2003	34.622	17.7157	126.233	
2	2003	33.6258	15.9989	126.069	
3	2003	31.1454	10.6069	125.461	
4	2003	30.3742	8.81694	125.206	
1	2003	36.1779	14.6666	127.384	
2	2003	34.9818	13.4385	128.006	
3	2003	31.9158	9.18756	127.4	
4	2003	30.9692	7.6662	126.565	
1	2003	43.036	4.78557	124.477	
2	2003	41.0501	4.62801	124.569	
3	2003	35.075	4.61153	124.694	
4	2003	33.1053	4.6376	124.656	
1	2003	43.0188	4.47625	123.736	
2	2003	41.0211	4.5635	123.754	
3	2003	35.0351	4.93927	123.846	
4	2003	33.0681	5.0007	123.843	

