Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	1993	8.26987	-10.3423	120.677	
2	1993	-0.676402	-14.8047	120.659	
1	1993	19.2996	5.68264	122.179	
2	1993	18.3421	3.95038	121.992	
3	1993	16.0958	-1.52508	121.364	
4	1993	15.4173	-3.34537	121.155	
1	1993	22.6868	2.17231	126.478	
2	1993	21.3524	0.854748	125.801	
3	1993	17.7099	-3.26785	123.47	
4	1993	16.539	-4.64763	122.684	
1	1993	27.0852	-3.16138	123.662	
2	1993	25.3664	-4.05998	123.225	
3	1993	19.9321	-6.12503	121.951	
4	1993	18.0555	-6.67787	121.571	
1	1993	26.1549	-1.25663	122.14	
2	1993	24.7222	-2.52216	121.685	
3	1993	19.7404	-5.43626	120.678	
4	1993	17.902	-6.18648	120.46	
1	1993	25.0272	1.12844	121.498	
2	1993	23.5017	-0.0559183	121.022	
3	1993	18.777	-3.5956	120.233	
4	1993	17.1495	-4.75186	120.151	

