Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	1995	23.9452	-0.434962	121.91	
2	1995	15.5652	-5.33656	119.513	
1	1995	39.1097	12.9678	123.969	
2	1995	37.6049	11.6734	123.785	
3	1995	33.4138	7.43377	123.415	
4	1995	32.0733	5.96895	123.305	
1	1995	35.1806	15.4595	125.323	
2	1995	34.1896	13.7416	125.123	
3	1995	31.6784	8.35512	124.528	
4	1995	30.8859	6.5703	124.307	
1	1995	36.6946	13.077	126.368	
2	1995	35.4608	11.7154	126.811	
3	1995	32.3517	7.15368	126.223	
4	1995	31.4086	5.56059	125.53	
1	1995	43.4877	2.18721	123.924	
2	1995	41.4969	2.08624	123.989	
3	1995	35.5213	2.22681	124.02	
4	1995	33.5546	2.29895	123.95	
1	1995	43.4847	1.87641	123.319	
2	1995	41.4895	1.9915	123.267	
3	1995	35.5148	2.49846	123.185	
4	1995	33.5518	2.61298	123.137	

