Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2007	-5.84546	-37.466	112.691	
2	2007	-12.5043	-41.2685	119.107	
1	2007	1.36521	-21.2451	108.744	
2	2007	1.03857	-23.2144	108.624	
3	2007	0.0208866	-29.1193	108.322	
4	2007	-0.407405	-30.9877	108.353	
1	2007	11.5775	-32.2718	112.345	
2	2007	9.77028	-32.5245	111.543	
3	2007	4.23796	-33.5719	109.55	
4	2007	2.41134	-34.0275	109.151	
1	2007	6.60978	-45.4625	110.219	
2	2007	5.67032	-43.7927	109.679	
3	2007	2.39086	-38.9779	108.412	
4	2007	1.16644	-37.6177	108.22	
1	2007	-1.88861	-46.3606	112.358	
2	2007	-1.68936	-44.779	111.201	
3	2007	-1.34469	-39.4983	108.641	
4	2007	-1.40966	-37.8151	108.192	
1	2007	-11.2113	-25.7727	107.852	
2	2007	-9.71009	-27.0818	107.693	
3	2007	-5.14202	-30.9542	107.477	
4	2007	-3.83725	-32.1884	107.584	

