Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	1997	23.285	1.40614	121.866	
2	1997	14.6413	-3.16327	119.767	
1	1997	38.5729	14.6294	123.339	
2	1997	37.0115	13.399	123.321	
3	1997	32.7921	9.20303	123.209	
4	1997	31.4739	7.71993	123.125	
1	1997	33.61	17.4244	125.28	
2	1997	32.7902	15.6129	125.155	
3	1997	30.8103	10.0141	124.556	
4	1997	30.1804	8.1861	124.283	
1	1997	36.7496	12.5219	126.275	
2	1997	35.7257	11.451	127.159	
3	1997	32.5324	7.82247	126.654	
4	1997	31.3829	6.53483	125.684	
1	1997	43.0769	3.79453	123.346	
2	1997	41.0786	3.77733	123.383	
3	1997	35.0868	3.94969	123.448	
4	1997	33.1125	3.98222	123.42	
1	1997	42.9581	4.08065	122.617	
2	1997	40.9633	4.22018	122.631	
3	1997	34.974	4.5539	122.71	
4	1997	32.9986	4.55944	122.708	

