Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2002	23.8596	0.203458	122.355	
2	2002	15.4441	-4.59869	119.883	
1	2002	39.5992	12.9801	124.777	
2	2002	38.0235	11.767	124.613	
3	2002	33.5743	7.79845	124.134	
4	2002	32.1438	6.42412	123.949	
1	2002	34.7958	16.1391	126.238	
2	2002	33.8517	14.398	126.012	
3	2002	31.4807	8.96917	125.247	
4	2002	30.7307	7.17892	124.949	
1	2002	35.7874	13.1319	127.512	
2	2002	34.5242	11.9853	128.068	
3	2002	31.7341	7.72616	127.272	
4	2002	30.9892	6.14192	126.377	
1	2002	43.388	2.49105	124.476	
2	2002	41.3947	2.43482	124.521	
3	2002	35.4229	2.71125	124.531	
4	2002	33.4602	2.82615	124.46	
1	2002	43.3895	2.39448	123.766	
2	2002	41.3934	2.48537	123.746	
3	2002	35.424	3.01676	123.706	
4	2002	33.4648	3.16355	123.656	

