Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	1996	6.12537	-22.3214	114.905	
2	1996	-2.37122	-26.6131	117.966	
1	1996	11.8894	-6.36557	117.593	
2	1996	11.9745	-8.22952	116.873	
3	1996	12.24	-13.8423	114.771	
4	1996	12.1833	-15.6363	114.191	
1	1996	23.7111	-14.2245	117.293	
2	1996	22.2021	-15.4052	116.901	
3	1996	17.2319	-17.8593	115.126	
4	1996	15.4623	-18.4136	114.484	
1	1996	25.0232	-22.7021	109.545	
2	1996	23.1114	-22.3366	109.994	
3	1996	17.4556	-20.9507	111.401	
4	1996	15.6058	-20.5283	111.894	
1	1996	24.9124	-18.128	109.424	
2	1996	22.9385	-18.2903	109.495	
3	1996	17.1284	-18.7971	110.548	
4	1996	15.2392	-19.0298	111.127	
1	1996	24.2289	-16.2233	109.169	
2	1996	22.2763	-16.2209	109.411	
3	1996	16.6385	-17.129	110.764	
4	1996	14.8288	-17.7056	111.382	

