Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2008	24.0042	1.12966	122.484	
2	2008	15.6516	-3.81674	120.084	
1	2008	40.0067	13.6418	124.485	
2	2008	38.3703	12.5133	124.346	
3	2008	33.7882	8.70133	124.011	
4	2008	32.3292	7.34974	123.888	
1	2008	35.1291	17.083	125.911	
2	2008	34.1514	15.3542	125.745	
3	2008	31.6875	9.9471	125.151	
4	2008	30.9113	8.1587	124.905	
1	2008	36.3901	14.3216	127.159	
2	2008	35.1199	13.1118	127.696	
3	2008	32.1384	8.74953	127.057	
4	2008	31.2929	7.15405	126.265	
1	2008	43.5365	3.79777	124.382	
2	2008	41.5468	3.68785	124.459	
3	2008	35.5718	3.81229	124.547	
4	2008	33.6048	3.88189	124.497	
1	2008	43.5207	3.22713	123.592	
2	2008	41.5267	3.36882	123.608	
3	2008	35.561	3.97368	123.675	
4	2008	33.6023	4.12236	123.66	

