Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	1992	23.3863	1.75503	122.573	
2	1992	14.9683	-3.09545	120.205	
1	1992	39.0522	14.6473	124.319	
2	1992	37.4447	13.4785	124.207	
3	1992	33.0014	9.50921	123.986	
4	1992	31.5978	8.10032	123.907	
1	1992	34.4873	17.7012	125.968	
2	1992	33.503	15.9787	125.785	
3	1992	31.0494	10.569	125.204	
4	1992	30.2837	8.77434	124.977	
1	1992	35.8449	15.1183	126.994	
2	1992	34.6783	13.7926	127.56	
3	1992	31.7229	9.29965	127.021	
4	1992	30.815	7.7176	126.264	
1	1992	42.9469	4.73795	124.126	
2	1992	40.9615	4.58825	124.248	
3	1992	34.9866	4.56965	124.46	
4	1992	33.0163	4.58947	124.448	
1	1992	42.9491	4.69495	123.444	
2	1992	40.9501	4.72548	123.471	
3	1992	34.9591	4.96291	123.616	
4	1992	32.99	4.99067	123.637	

