Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2000	23.0655	0.949372	122.097	
2	2000	14.6728	-3.85227	119.546	
1	2000	39.0294	13.5144	124.012	
2	2000	37.4276	12.3288	123.91	
3	2000	32.8849	8.44509	123.661	
4	2000	31.4217	7.09792	123.557	
1	2000	34.2527	16.8145	125.485	
2	2000	33.2685	15.0894	125.319	
3	2000	30.7879	9.68424	124.778	
4	2000	30.0069	7.89591	124.56	
1	2000	35.5035	14.3838	126.365	
2	2000	34.286	13.0862	126.916	
3	2000	31.3143	8.55094	126.478	
4	2000	30.4347	6.92665	125.785	
1	2000	42.6053	3.41537	123.732	
2	2000	40.618	3.32164	123.867	
3	2000	34.6496	3.49847	124.109	
4	2000	32.6838	3.58678	124.1	
1	2000	42.6308	3.4176	122.985	
2	2000	40.6336	3.46812	123.04	
3	2000	34.6557	3.85881	123.241	
4	2000	32.692	3.95842	123.269	

