Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2005	-15.2912	-38.5279	112.474	
2	2005	-17.6349	-43.7511	120.673	
1	2005	-12.6779	-21.122	107.869	
2	2005	-12.8335	-23.1117	107.764	
3	2005	-13.1773	-29.0725	107.238	
4	2005	-13.2896	-30.9808	107.16	
1	2005	-1.11502	-29.2489	106.286	
2	2005	-2.89078	-30.1628	106.344	
3	2005	-8.33541	-32.663	106.418	
4	2005	-10.0668	-33.4556	106.552	
1	2005	-2.2964	-41.5593	107.461	
2	2005	-3.99164	-40.582	107.069	
3	2005	-9.10757	-37.5785	106.293	
4	2005	-10.7169	-36.7303	106.291	
1	2005	-24.9447	-38.6756	109.367	
2	2005	-23.5781	-38.2533	108.129	
3	2005	-18.6499	-36.522	106.231	
4	2005	-16.9761	-35.9659	106.234	
1	2005	-23.3928	-26.7293	101.329	
2	2005	-22.0923	-27.9445	102.227	
3	2005	-17.841	-31.3991	104.61	
4	2005	-16.4925	-32.4961	105.397	

