Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2004	24.0824	1.34298	122.958	
2	2004	15.5044	-3.33193	120.826	
1	2004	39.4146	14.5437	124.788	
2	2004	37.8484	13.3193	124.717	
3	2004	33.5862	9.16622	124.452	
4	2004	32.25	7.69973	124.321	
1	2004	34.9378	17.2506	126.595	
2	2004	34.0047	15.5005	126.415	
3	2004	31.7197	10.0342	125.715	
4	2004	31.0071	8.23152	125.425	
1	2004	36.5685	13.0449	128.026	
2	2004	35.4484	12.0147	128.817	
3	2004	32.5579	8.23889	128.057	
4	2004	31.6492	6.83701	127.013	
1	2004	43.7762	3.95768	124.861	
2	2004	41.7794	3.90132	124.88	
3	2004	35.7897	4.01439	124.84	
4	2004	33.8175	4.04055	124.765	
1	2004	43.7118	4.05138	124.046	
2	2004	41.7145	4.15035	124.022	
3	2004	35.7237	4.47586	124.001	
4	2004	33.7513	4.50431	123.97	

