Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2002	24.2468	0.168877	121.652	
2	2002	15.7836	-4.67306	119.432	
1	2002	40.031	12.8814	124.065	
2	2002	38.4213	11.7275	123.855	
3	2002	33.9452	7.82168	123.297	
4	2002	32.5239	6.43808	123.106	
1	2002	34.9479	16.239	125.24	
2	2002	34.0667	14.4601	125.047	
3	2002	31.8408	8.95482	124.357	
4	2002	31.1234	7.15032	124.081	
1	2002	36.6191	12.6181	126.325	
2	2002	35.4572	11.5135	127.06	
3	2002	32.5675	7.45065	126.45	
4	2002	31.6913	5.94366	125.53	
1	2002	43.7953	1.84882	124.034	
2	2002	41.8007	1.91352	124.008	
3	2002	35.8492	2.48532	123.782	
4	2002	33.8975	2.67376	123.638	
1	2002	43.7825	2.27585	123.215	
2	2002	41.7914	2.43665	123.128	
3	2002	35.8286	3.04849	122.907	
4	2002	33.8682	3.18782	122.812	

