Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2005	9.27372	-10.3792	121.894	
2	2005	0.305456	-14.7966	122.073	
1	2005	19.0418	6.05757	123.264	
2	2005	18.3606	4.19791	123.029	
3	2005	16.755	-1.52638	122.407	
4	2005	16.225	-3.38789	122.24	
1	2005	23.9976	1.57045	128.023	
2	2005	22.6116	0.381757	127.224	
3	2005	18.8449	-3.49501	124.684	
4	2005	17.6427	-4.83252	123.874	
1	2005	28.1645	-3.63562	124.846	
2	2005	26.4582	-4.55939	124.455	
3	2005	21.0135	-6.49266	123.182	
4	2005	19.121	-6.9521	122.77	
1	2005	27.3702	-1.89373	123.368	
2	2005	25.9262	-3.13704	122.922	
3	2005	20.867	-5.83383	121.885	
4	2005	18.9932	-6.4785	121.644	
1	2005	26.1865	0.871356	122.572	
2	2005	24.6479	-0.302255	122.111	
3	2005	19.8714	-3.78084	121.359	
4	2005	18.224	-4.9094	121.287	

