Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2002	24.2999	0.972143	122.244	
2	2002	15.4763	-3.23641	120.139	
1	2002	38.6378	14.9852	124.015	
2	2002	37.3255	13.4801	123.989	
3	2002	33.6368	8.76735	123.786	
4	2002	32.4245	7.20785	123.657	
1	2002	34.6549	16.653	126.273	
2	2002	33.8525	14.8427	126.052	
3	2002	31.9331	9.25553	125.195	
4	2002	31.321	7.43886	124.85	
1	2002	38.2842	10.8249	126.773	
2	2002	37.4123	9.74402	127.714	
3	2002	34.1348	6.4873	127.17	
4	2002	32.8233	5.41823	126.136	
1	2002	44.2018	2.79464	123.686	
2	2002	42.2032	2.84371	123.692	
3	2002	36.2151	3.16619	123.724	
4	2002	34.2403	3.23827	123.702	
1	2002	44.0672	3.53409	122.963	
2	2002	42.0722	3.66995	122.967	
3	2002	36.082	3.97157	123.048	
4	2002	34.1033	3.96776	123.054	

