Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	1995	23.1922	0.695859	121.627	
2	1995	14.442	-3.62996	119.455	
1	1995	38.0596	14.2975	123.429	
2	1995	36.6778	12.8552	123.377	
3	1995	32.7373	8.34614	123.165	
4	1995	31.438	6.85175	123.05	
1	1995	33.8312	16.4023	125.322	
2	1995	33.022	14.5864	125.151	
3	1995	30.9651	9.01181	124.465	
4	1995	30.2827	7.20539	124.176	
1	1995	37.7923	10.5113	126.123	
2	1995	36.7795	9.41585	126.991	
3	1995	33.1744	6.19546	126.463	
4	1995	31.7869	5.15647	125.491	
1	1995	43.0445	2.72453	123.161	
2	1995	41.0489	2.67081	123.185	
3	1995	35.0673	2.88464	123.226	
4	1995	33.0946	2.97199	123.196	
1	1995	42.9519	3.49371	122.481	
2	1995	40.9526	3.53013	122.463	
3	1995	34.9568	3.70327	122.51	
4	1995	32.9789	3.70131	122.513	

