Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2001	23.5237	1.49087	122.155	
2	2001	15.1734	-3.49032	119.818	
1	2001	38.6506	14.9771	123.798	
2	2001	37.1243	13.7052	123.663	
3	2001	32.9182	9.4807	123.453	
4	2001	31.5862	8.00554	123.397	
1	2001	34.7387	17.4897	125.332	
2	2001	33.7616	15.7576	125.181	
3	2001	31.2485	10.3575	124.674	
4	2001	30.4453	8.57353	124.468	
1	2001	36.3934	14.8466	126.46	
2	2001	35.1681	13.53	126.983	
3	2001	32.0065	9.08353	126.458	
4	2001	31.0289	7.51875	125.741	
1	2001	43.021	4.05311	124.308	
2	2001	41.0322	3.94459	124.347	
3	2001	35.068	4.14675	124.275	
4	2001	33.1068	4.25642	124.168	
1	2001	43.0487	4.36618	123.526	
2	2001	41.051	4.3841	123.47	
3	2001	35.0645	4.66838	123.367	
4	2001	33.0976	4.7297	123.313	

