Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2005	-14.3997	-39.533	113.678	
2	2005	-16.7956	-44.5578	121.984	
1	2005	-9.47417	-22.7281	108.261	
2	2005	-10.0806	-24.627	108.284	
3	2005	-11.4971	-30.4261	108.06	
4	2005	-11.8704	-32.3055	108.059	
1	2005	-0.0442186	-30.7853	107.01	
2	2005	-1.83923	-31.6545	107.133	
3	2005	-7.32795	-34.048	107.363	
4	2005	-9.07149	-34.808	107.539	
1	2005	-1.85327	-43.8224	107.795	
2	2005	-3.41025	-42.6003	107.542	
3	2005	-8.25817	-39.1219	107.119	
4	2005	-9.82387	-38.1858	107.212	
1	2005	-23.9177	-41.2542	109.925	
2	2005	-22.367	-40.7404	108.9	
3	2005	-17.3865	-38.4616	107.286	
4	2005	-15.8223	-37.6636	107.293	
1	2005	-22.8347	-28.5462	102.498	
2	2005	-21.4964	-29.7138	103.395	
3	2005	-17.0552	-32.938	105.719	
4	2005	-15.6319	-33.9359	106.477	

