Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2006	23.1897	1.1717	122.743	
2	2006	14.5864	-3.45515	120.606	
1	2006	37.4785	15.2868	124.377	
2	2006	36.04	13.9161	124.333	
3	2006	32.25	9.33348	124.167	
4	2006	31.0791	7.73892	124.072	
1	2006	33.8199	17.0818	126.486	
2	2006	32.9448	15.2988	126.341	
3	2006	30.796	9.77991	125.623	
4	2006	30.1149	7.9735	125.297	
1	2006	36.7591	12.0109	127.584	
2	2006	35.7235	10.9337	128.43	
3	2006	32.4637	7.44058	127.754	
4	2006	31.2873	6.23083	126.717	
1	2006	42.9378	3.68361	124.429	
2	2006	40.9402	3.64374	124.446	
3	2006	34.9494	3.7882	124.436	
4	2006	32.9764	3.8205	124.382	
1	2006	42.8245	4.08006	123.686	
2	2006	40.8272	4.18329	123.68	
3	2006	34.8332	4.44128	123.693	
4	2006	32.858	4.43027	123.668	

