Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2007	21.9331	2.51442	122.119	
2	2007	13.5609	-2.34857	119.617	
1	2007	37.5272	15.4831	123.477	
2	2007	35.9298	14.2953	123.431	
3	2007	31.5109	10.2898	123.427	
4	2007	30.1135	8.87512	123.417	
1	2007	33.9484	18.0518	124.848	
2	2007	32.84	16.3965	124.85	
3	2007	29.9591	11.1733	124.644	
4	2007	29.0497	9.43209	124.487	
1	2007	35.1807	15.0799	126.399	
2	2007	33.957	13.9057	127.082	
3	2007	30.6534	9.78722	126.673	
4	2007	29.5958	8.30004	125.899	
1	2007	41.3825	4.46112	123.216	
2	2007	39.4051	4.445	123.456	
3	2007	33.4725	4.89628	123.923	
4	2007	31.5201	5.07698	123.961	
1	2007	41.4494	5.45902	122.485	
2	2007	39.4565	5.48171	122.641	
3	2007	33.4794	5.71839	123.068	
4	2007	31.5139	5.75168	123.146	

