Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2008	24.27	-0.715153	121.174	
2	2008	15.7435	-5.39711	118.854	
1	2008	39.6231	12.4672	123.479	
2	2008	38.1156	11.1729	123.296	
3	2008	33.8825	6.97666	122.797	
4	2008	32.5186	5.53899	122.619	
1	2008	35.1511	15.21	124.666	
2	2008	34.2333	13.4555	124.436	
3	2008	31.9471	7.97709	123.775	
4	2008	31.2222	6.17172	123.541	
1	2008	36.7529	12.2878	125.714	
2	2008	35.5618	11.0245	126.3	
3	2008	32.6371	6.63198	125.69	
4	2008	31.7617	5.06274	124.881	
1	2008	43.9392	1.54518	123.249	
2	2008	41.9422	1.52268	123.249	
3	2008	35.9595	1.77798	123.165	
4	2008	33.9912	1.85848	123.08	
1	2008	43.8986	1.69855	122.718	
2	2008	41.9047	1.78752	122.606	
3	2008	35.9263	2.19849	122.389	
4	2008	33.958	2.28241	122.314	

