Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2004	25.4339	0.434303	121.947	
2	2004	16.8232	-4.17111	119.792	
1	2004	39.7078	14.5566	123.525	
2	2004	38.279	13.1761	123.458	
3	2004	34.5087	8.57465	123.295	
4	2004	33.3412	6.97752	123.219	
1	2004	35.4582	16.5876	125.268	
2	2004	34.6595	14.7674	125.152	
3	2004	32.7939	9.12891	124.605	
4	2004	32.2123	7.28447	124.354	
1	2004	39.009	12.3417	125.833	
2	2004	37.9721	11.1233	126.648	
3	2004	34.7145	7.13593	126.341	
4	2004	33.5398	5.75817	125.531	
1	2004	45.1894	2.58868	123.636	
2	2004	43.1908	2.64072	123.653	
3	2004	37.202	2.95468	123.64	
4	2004	35.2303	3.01313	123.584	
1	2004	45.0655	2.97644	123.026	
2	2004	43.0764	3.17248	122.982	
3	2004	37.0951	3.60026	122.92	
4	2004	35.1206	3.61487	122.882	

