Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2002	7.6429	-23.4899	112.995	
2	2002	-1.01628	-27.4277	116.077	
1	2002	12.5265	-7.94475	115.723	
2	2002	12.772	-9.78074	114.969	
3	2002	13.5136	-15.3268	112.807	
4	2002	13.599	-17.0988	112.221	
1	2002	20.8711	-12.4716	118.081	
2	2002	20.2495	-14.1385	117.325	
3	2002	17.4371	-18.0869	114.274	
4	2002	16.2005	-19.101	113.199	
1	2002	26.4506	-24.589	107.454	
2	2002	24.5569	-24.2092	107.954	
3	2002	18.9726	-22.6416	109.411	
4	2002	17.1466	-22.1235	109.896	
1	2002	26.3754	-19.5579	107.403	
2	2002	24.4103	-19.6124	107.374	
3	2002	18.656	-20.0726	108.397	
4	2002	16.7889	-20.3536	109.034	
1	2002	25.9334	-18.0683	107.206	
2	2002	23.9813	-17.9968	107.432	
3	2002	18.3161	-18.703	108.773	
4	2002	16.4886	-19.2134	109.397	

