Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2006	23.0304	1.16432	122.557	
2	2006	14.6306	-3.67232	120.098	
1	2006	37.6812	15.0809	123.694	
2	2006	36.2548	13.6863	123.718	
3	2006	32.3012	9.20064	123.802	
4	2006	31.034	7.67402	123.791	
1	2006	34.2701	17.0499	125.872	
2	2006	33.2568	15.3414	125.732	
3	2006	30.7349	9.96212	125.2	
4	2006	29.953	8.17413	124.97	
1	2006	35.3826	14.6331	127.002	
2	2006	34.1601	13.3347	127.526	
3	2006	31.2174	8.81463	126.974	
4	2006	30.3578	7.19766	126.241	
1	2006	42.5719	4.0427	123.854	
2	2006	40.5851	3.92017	124	
3	2006	34.6123	3.94923	124.351	
4	2006	32.6441	3.97557	124.397	
1	2006	42.5746	3.74149	123.121	
2	2006	40.5791	3.84171	123.202	
3	2006	34.6016	4.23733	123.512	
4	2006	32.6374	4.30118	123.583	

