Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2000	-5.76039	-36.8402	112.743	
2	2000	-12.6114	-40.4467	119.07	
1	2000	2.03176	-20.8313	108.705	
2	2000	1.60213	-22.779	108.569	
3	2000	0.371942	-28.6433	108.328	
4	2000	-0.101048	-30.5023	108.402	
1	2000	11.643	-32.2355	113.106	
2	2000	9.87345	-32.3737	112.205	
3	2000	4.42392	-33.1919	109.927	
4	2000	2.61157	-33.6027	109.443	
1	2000	6.79855	-44.8474	111.047	
2	2000	5.8593	-43.1982	110.441	
3	2000	2.60275	-38.4457	108.876	
4	2000	1.38728	-37.1017	108.567	
1	2000	-3.00694	-45.2736	113.28	
2	2000	-2.6349	-43.8458	111.983	
3	2000	-1.66376	-38.8725	109.05	
4	2000	-1.51404	-37.2423	108.496	
1	2000	-10.76	-25.0787	107.587	
2	2000	-9.29808	-26.4309	107.447	
3	2000	-4.82326	-30.405	107.392	
4	2000	-3.5445	-31.6605	107.572	

