Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	1993	9.4241	-11.4118	121.374	
2	1993	0.486166	-15.8784	120.988	
1	1993	20.4149	4.53814	123.668	
2	1993	19.5047	2.78802	123.395	
3	1993	17.3052	-2.69407	122.559	
4	1993	16.6169	-4.50303	122.292	
1	1993	23.6323	0.808114	128.167	
2	1993	22.3227	-0.427989	127.311	
3	1993	18.7743	-4.43559	124.655	
4	1993	17.6363	-5.81044	123.814	
1	1993	28.3872	-5.2028	125.03	
2	1993	26.6549	-6.04849	124.581	
3	1993	21.1599	-7.73342	123.177	
4	1993	19.2591	-8.11359	122.727	
1	1993	27.4576	-2.65822	123.608	
2	1993	25.9846	-3.88053	123.144	
3	1993	20.9468	-6.66925	121.969	
4	1993	19.1066	-7.38044	121.656	
1	1993	26.1747	0.0394123	122.865	
2	1993	24.6431	-1.12275	122.351	
3	1993	19.9436	-4.66927	121.424	
4	1993	18.3338	-5.84402	121.285	

