Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2001	23.1819	1.07939	121.967	
2	2001	14.6717	-3.54028	119.471	
1	2001	38.1576	14.6631	123.438	
2	2001	36.7145	13.284	123.398	
3	2001	32.6471	8.89252	123.351	
4	2001	31.3278	7.40965	123.314	
1	2001	34.1199	17.0028	125.212	
2	2001	33.1875	15.2495	125.038	
3	2001	30.8522	9.77287	124.554	
4	2001	30.112	7.96742	124.375	
1	2001	36.1554	14.3644	126.045	
2	2001	34.9664	12.9994	126.58	
3	2001	31.8203	8.45321	126.196	
4	2001	30.8221	6.87427	125.546	
1	2001	42.7798	3.76365	123.227	
2	2001	40.7984	3.63595	123.416	
3	2001	34.8328	3.67895	123.799	
4	2001	32.8633	3.71994	123.829	
1	2001	42.7815	3.60575	122.659	
2	2001	40.7842	3.65513	122.715	
3	2001	34.8049	4.0057	122.972	
4	2001	32.8397	4.08546	123.031	

