Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	1994	22.1868	1.54058	122.609	
2	1994	13.8256	-3.34578	120.117	
1	1994	37.4386	14.8417	124.136	
2	1994	35.87	13.6228	124.048	
3	1994	31.5995	9.47599	123.947	
4	1994	30.2634	8.00537	123.916	
1	1994	33.2804	17.5025	125.934	
2	1994	32.2573	15.8032	125.783	
3	1994	29.7706	10.4161	125.26	
4	1994	29.0163	8.61577	125.042	
1	1994	34.7609	15.0744	127.132	
2	1994	33.5614	13.7122	127.617	
3	1994	30.5188	9.16088	127.037	
4	1994	29.5881	7.5728	126.315	
1	1994	41.6813	4.79909	123.966	
2	1994	39.7019	4.60697	124.12	
3	1994	33.7352	4.47659	124.469	
4	1994	31.7659	4.46523	124.507	
1	1994	41.6911	4.09735	123.247	
2	1994	39.6965	4.21721	123.326	
3	1994	33.7206	4.6508	123.624	
4	1994	31.7575	4.71996	123.689	

