Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2002	8.05869	-23.9811	113.314	
2	2002	-0.4226	-28.0421	116.712	
1	2002	14.0767	-8.43207	116.287	
2	2002	14.1366	-10.2349	115.427	
3	2002	14.3193	-15.7464	113.079	
4	2002	14.2347	-17.525	112.472	
1	2002	21.3948	-13.2806	118.69	
2	2002	20.6614	-14.8859	117.879	
3	2002	17.738	-18.6571	114.642	
4	2002	16.5243	-19.62	113.507	
1	2002	26.7748	-25.6034	108.34	
2	2002	24.8753	-25.13	108.725	
3	2002	19.2996	-23.2892	109.86	
4	2002	17.484	-22.6905	110.255	
1	2002	26.8669	-20.3823	108.483	
2	2002	24.9138	-20.418	108.288	
3	2002	19.1021	-20.7126	108.893	
4	2002	17.1958	-20.917	109.426	
1	2002	26.6213	-19.0194	107.953	
2	2002	24.6431	-19.0535	108.133	
3	2002	18.8256	-19.5929	109.24	
4	2002	16.9348	-19.9339	109.772	

