Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2006	-26.7753	-24.5752	113.78	
2	2006	-22.6241	-31.2988	119.908	
1	2006	-21.0074	-12.773	116.608	
2	2006	-22.4287	-13.5706	115.462	
3	2006	-26.3817	-16.4145	112.009	
4	2006	-27.4439	-17.5065	111.052	
1	2006	-30.0985	-14.2087	96.9529	
2	2006	-29.8881	-15.0889	98.7335	
3	2006	-29.5561	-17.6316	104.146	
4	2006	-29.459	-18.4959	105.92	
1	2006	-24.373	-30.5344	105.145	
2	2006	-25.5989	-29.0191	105.362	
3	2006	-28.4624	-24.1607	106.89	
4	2006	-29.0672	-22.709	107.675	
1	2006	-34.9923	-21.721	121.294	
2	2006	-34.4158	-21.321	119.424	
3	2006	-32.4243	-20.3161	113.866	
4	2006	-31.6811	-20.168	112.281	
1	2006	-35.8026	-11.4693	101.076	
2	2006	-35.0609	-12.5327	102.585	
3	2006	-32.4602	-16.008	106.665	
4	2006	-31.5028	-17.252	107.903	

