Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	1998	-3.77817	-26.2007	109.348	
2	1998	-10.3407	-31.6928	114.516	
1	1998	1.16205	-9.13755	109.801	
2	1998	1.11309	-11.0339	109.17	
3	1998	1.11699	-16.761	107.394	
4	1998	1.04904	-18.6158	106.965	
1	1998	13.8454	-19.8749	108.082	
2	1998	11.9691	-20.4392	108.159	
3	1998	6.30759	-21.579	107.28	
4	1998	4.46221	-21.885	106.822	
1	1998	6.34455	-33.5103	109.354	
2	1998	5.72529	-31.7647	108.614	
3	1998	3.47343	-26.6059	106.597	
4	1998	2.58116	-25.1422	106.116	
1	1998	9.43681	-13.7515	107.652	
2	1998	8.29177	-14.896	106.609	
3	1998	4.31646	-18.6723	105.054	
4	1998	2.86116	-20.0058	105.053	
1	1998	-9.21793	-13.2284	105.901	
2	1998	-7.70026	-14.4551	105.535	
3	1998	-3.11621	-18.2189	105.19	
4	1998	-1.81337	-19.4847	105.356	

