Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	2000	-4.69803	-25.726	110.159	
2	2000	-10.5951	-31.6673	115.626	
1	2000	0.129751	-8.59043	110.906	
2	2000	0.273759	-10.4189	110.13	
3	2000	0.246661	-16.0371	108.122	
4	2000	0.0268638	-17.8881	107.676	
1	2000	12.7123	-18.9377	109.003	
2	2000	10.7953	-19.438	108.813	
3	2000	5.05738	-20.6186	107.711	
4	2000	3.20817	-21.0008	107.33	
1	2000	5.29086	-32.6596	109.815	
2	2000	4.66253	-30.9126	109.091	
3	2000	2.30361	-25.7816	107.154	
4	2000	1.36721	-24.3404	106.707	
1	2000	7.94719	-12.3308	108.595	
2	2000	6.66154	-13.596	107.782	
3	2000	2.69083	-17.6868	106.216	
4	2000	1.35064	-19.1109	106.041	
1	2000	-11.0136	-13.0164	106.681	
2	2000	-9.42914	-14.1794	106.363	
3	2000	-4.63169	-17.7034	106.01	
4	2000	-3.25206	-18.89	106.137	

