Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	1992	-4.38244	-26.1787	110.367	
2	1992	-10.4572	-32.223	115.52	
1	1992	0.437493	-8.86563	111.127	
2	1992	0.479663	-10.729	110.408	
3	1992	0.440183	-16.4051	108.493	
4	1992	0.287128	-18.2637	108.051	
1	1992	13.1402	-18.9849	109.142	
2	1992	11.2283	-19.5081	108.906	
3	1992	5.47943	-20.8311	107.897	
4	1992	3.61853	-21.2766	107.599	
1	1992	6.14707	-33.1263	109.379	
2	1992	5.42821	-31.3587	108.8	
3	1992	2.86131	-26.1855	107.258	
4	1992	1.87514	-24.7377	106.92	
1	1992	8.21488	-12.5081	108.259	
2	1992	6.97108	-13.7986	107.456	
3	1992	3.08364	-17.9868	106.181	
4	1992	1.75657	-19.4474	106.155	
1	1992	-10.4265	-13.1467	106.859	
2	1992	-8.82403	-14.2965	106.586	
3	1992	-4.09542	-17.9222	106.327	
4	1992	-2.76915	-19.1762	106.47	

