Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	1994	5.30807	-21.8818	114.089	
2	1994	-3.21212	-25.9418	117.383	
1	1994	12.7419	-6.24842	117.031	
2	1994	12.4405	-8.03598	116.197	
3	1994	11.883	-13.5262	113.887	
4	1994	11.6586	-15.3078	113.282	
1	1994	24.6313	-17.5868	114.033	
2	1994	22.6987	-18.0211	113.975	
3	1994	16.8578	-18.6894	113.233	
4	1994	14.9217	-18.8083	112.918	
1	1994	24.4518	-21.4297	108.935	
2	1994	22.5027	-21.1614	109.287	
3	1994	16.7088	-20.1803	110.473	
4	1994	14.811	-19.9083	110.921	
1	1994	23.8759	-16.0788	109.191	
2	1994	21.9573	-16.5603	109.122	
3	1994	16.2247	-17.8534	109.807	
4	1994	14.3382	-18.2828	110.29	
1	1994	23.2605	-14.6532	108.882	
2	1994	21.3069	-14.868	108.993	
3	1994	15.715	-16.3336	110.028	
4	1994	13.9322	-17.0561	110.571	

