Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	1999	24.5948	0.217004	121.888	
2	1999	15.9631	-4.38398	119.81	
1	1999	40.0719	13.2074	124.238	
2	1999	38.4874	12.0152	124.083	
3	1999	34.1708	7.94482	123.568	
4	1999	32.8165	6.50193	123.362	
1	1999	34.5693	16.3297	125.723	
2	1999	33.8012	14.5021	125.518	
3	1999	31.9721	8.8735	124.724	
4	1999	31.3878	7.04016	124.4	
1	1999	37.8187	11.5469	126.471	
2	1999	36.7717	10.4657	127.321	
3	1999	33.6572	6.76211	126.737	
4	1999	32.569	5.43963	125.748	
1	1999	44.3581	2.44911	123.758	
2	1999	42.3596	2.46975	123.723	
3	1999	36.371	2.73772	123.605	
4	1999	34.3993	2.79415	123.53	
1	1999	44.23	2.72709	123.093	
2	1999	42.2381	2.88895	123.02	
3	1999	36.2559	3.31586	122.886	
4	1999	34.2827	3.35546	122.83	

