Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	1992	-5.72631	-25.5552	110.051	
2	1992	-11.6568	-31.6637	115.295	
1	1992	-0.906516	-8.48397	111.452	
2	1992	-0.855063	-10.2969	110.617	
3	1992	-0.941604	-15.8384	108.352	
4	1992	-1.1239	-17.6612	107.806	
1	1992	11.6655	-18.5656	108.97	
2	1992	9.75369	-19.0244	108.609	
3	1992	3.99839	-20.2219	107.43	
4	1992	2.13757	-20.647	107.132	
1	1992	5.3768	-31.891	109.252	
2	1992	4.54068	-30.2071	108.59	
3	1992	1.61758	-25.287	106.879	
4	1992	0.525073	-23.9185	106.511	
1	1992	6.87859	-12.1105	108.425	
2	1992	5.59145	-13.3349	107.574	
3	1992	1.60326	-17.3724	106.047	
4	1992	0.256267	-18.8	105.92	
1	1992	-11.8944	-12.4794	107.355	
2	1992	-10.3199	-13.639	106.968	
3	1992	-5.61618	-17.2595	106.307	
4	1992	-4.27916	-18.5048	106.314	

