Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	1995	24.7989	-0.29274	121.465	
2	1995	16.1838	-4.94802	119.44	
1	1995	39.8186	13.1981	123.499	
2	1995	38.3134	11.9026	123.358	
3	1995	34.2177	7.58681	122.96	
4	1995	32.9265	6.08484	122.81	
1	1995	34.8552	15.847	125.051	
2	1995	34.1042	14.0084	124.862	
3	1995	32.2531	8.3657	124.159	
4	1995	31.6437	6.5329	123.876	
1	1995	38.5012	11.2722	125.433	
2	1995	37.4221	10.1427	126.275	
3	1995	34.1047	6.32658	125.924	
4	1995	32.9279	4.97789	125.071	
1	1995	44.5145	1.25495	123.342	
2	1995	42.5197	1.378	123.326	
3	1995	36.5548	1.96197	123.202	
4	1995	34.5932	2.11729	123.11	
1	1995	44.4093	1.80503	122.563	
2	1995	42.4245	2.04252	122.508	
3	1995	36.4587	2.66229	122.411	
4	1995	34.4892	2.75258	122.364	

