Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	1995	23.3466	2.0829	121.704	
2	1995	14.5012	-2.13942	119.722	
1	1995	38.4659	15.3838	123.085	
2	1995	36.9455	14.1023	123.097	
3	1995	32.8552	9.77722	123.049	
4	1995	31.5746	8.26597	122.981	
1	1995	33.9757	17.6782	125.594	
2	1995	33.1561	15.8743	125.369	
3	1995	31.1331	10.3116	124.547	
4	1995	30.476	8.50346	124.225	
1	1995	38.2213	10.5748	125.934	
2	1995	37.4478	9.45885	126.869	
3	1995	33.8706	6.72582	126.394	
4	1995	32.32	5.97211	125.405	
1	1995	43.2324	3.66258	122.667	
2	1995	41.2395	3.716	122.79	
3	1995	35.2691	4.14895	123	
4	1995	33.2994	4.27864	122.992	
1	1995	43.059	4.33357	121.877	
2	1995	41.0738	4.53606	122.002	
3	1995	35.1031	5.01534	122.31	
4	1995	33.1276	5.06013	122.354	

