Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	1996	22.9021	1.57278	122.683	
2	1996	14.2937	-3.02743	120.512	
1	1996	37.4424	15.5073	124.052	
2	1996	35.9831	14.1553	124.053	
3	1996	32.0803	9.65536	124.018	
4	1996	30.8632	8.09205	123.96	
1	1996	33.6978	17.4946	126.153	
2	1996	32.793	15.7239	126.029	
3	1996	30.5509	10.2244	125.436	
4	1996	29.8408	8.41889	125.162	
1	1996	36.2969	12.7357	127.449	
2	1996	35.2096	11.6886	128.289	
3	1996	31.9793	8.0994	127.665	
4	1996	30.8581	6.81359	126.66	
1	1996	42.6049	4.58934	123.996	
2	1996	40.6173	4.4411	124.113	
3	1996	34.6363	4.34698	124.33	
4	1996	32.6618	4.32713	124.326	
1	1996	42.5264	4.56069	123.203	
2	1996	40.5285	4.61567	123.276	
3	1996	34.5369	4.81803	123.516	
4	1996	32.5643	4.81144	123.557	

