Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	1996	-14.9304	-37.6525	114.004	
2	1996	-17.4982	-42.832	122.162	
1	1996	-10.6135	-20.5664	109.349	
2	1996	-11.078	-22.5051	109.229	
3	1996	-12.1909	-28.3649	108.693	
4	1996	-12.5014	-30.2524	108.622	
1	1996	-0.411924	-29.1096	107.35	
2	1996	-2.2444	-29.8957	107.488	
3	1996	-7.81213	-32.1017	107.764	
4	1996	-9.57143	-32.8235	107.95	
1	1996	-1.88174	-41.0198	108.418	
2	1996	-3.59324	-40.0118	108.193	
3	1996	-8.70319	-36.914	107.699	
4	1996	-10.2991	-36.0336	107.729	
1	1996	-24.5096	-37.3479	111.255	
2	1996	-23.1739	-37.0324	109.959	
3	1996	-18.2516	-35.5744	107.874	
4	1996	-16.5601	-35.0873	107.818	
1	1996	-23.0995	-26.1914	102.784	
2	1996	-21.7703	-27.3794	103.676	
3	1996	-17.4389	-30.7315	106.064	
4	1996	-16.0694	-31.7891	106.859	

