Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	1997	8.33091	-23.5207	113.692	
2	1997	-0.306077	-27.5583	116.708	
1	1997	15.5666	-7.9153	116.629	
2	1997	15.4683	-9.72989	115.798	
3	1997	15.1115	-15.2667	113.531	
4	1997	14.8446	-17.0504	112.944	
1	1997	22.6673	-13.3095	119.262	
2	1997	21.6244	-14.7305	118.375	
3	1997	18.1901	-18.2241	115.102	
4	1997	16.9222	-19.17	114	
1	1997	27.1763	-24.5691	108.348	
2	1997	25.2728	-24.1913	108.811	
3	1997	19.6733	-22.6241	110.206	
4	1997	17.8462	-22.1057	110.683	
1	1997	27.1592	-20.0652	107.796	
2	1997	25.1861	-20.1947	107.929	
3	1997	19.3965	-20.4829	109.161	
4	1997	17.5158	-20.6141	109.793	
1	1997	26.692	-17.5898	107.631	
2	1997	24.7695	-17.9757	108.002	
3	1997	19.0848	-19.0573	109.519	
4	1997	17.2248	-19.4371	110.132	

